condition,query_type,concept,query,success_at_1,success_at_5,first_hit_rank,reciprocal_rank,ndcg_at_5,top_source,top_role,top_score
lexical,direct_concept,linear_systems,Explain linear systems for a final exam review.,0,1,2,0.5,0.6797,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.14874
lexical,worked_example,linear_systems,Find a worked example involving linear system.,0,0,0,0.0,0.0,slides_md/three/three_ii/three_ii.md,lecture,0.10601
lexical,misconception,linear_systems,What common mistake do students make with linear system?,0,0,0,0.0,0.0,mit_linear_algebra_md/spring2010/18.06-Final-Answers-Sp2010-FN/18.06-Final-Answers-Sp2010-FN.md,solution,0.09233
lexical,vague_student_question,linear_systems,I am confused about when to use linear system; what should I review first?,0,0,0,0.0,0.0,mit_linear_algebra_md/fall2019/Final Solutions/Final Solutions.md,solution,0.11093
lexical,multi_concept_review,linear_systems,Give an exam-style explanation that connects linear systems to earlier concepts.,1,1,1,1.0,1.0,slides_md/three/three_iv_handout/three_iv_handout.md,handout,0.11777
lexical,direct_concept,row_reduction,Explain row reduction for a final exam review.,0,1,3,0.3333,0.5706,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.15723
lexical,worked_example,row_reduction,Find a worked example involving row reduction.,1,1,1,1.0,1.0,slides_md/three/three_v_allproofs/three_v_allproofs.md,lecture,0.11581
lexical,misconception,row_reduction,What common mistake do students make with row reduction?,1,1,1,1.0,1.0,slides_md/three/three_v_allproofs/three_v_allproofs.md,lecture,0.08871
lexical,vague_student_question,row_reduction,I am confused about when to use row reduction; what should I review first?,1,1,1,1.0,0.9469,mit_linear_algebra_md/spring2021/Final Solutions/Final Solutions.md,solution,0.15128
lexical,multi_concept_review,row_reduction,Give an exam-style explanation that connects row reduction to earlier concepts.,0,1,2,0.5,0.7328,mit_linear_algebra_md/fall2010/final-1806-f10-solution/final-1806-f10-solution.md,solution,0.07681
lexical,direct_concept,rank,Explain rank for a final exam review.,0,1,3,0.3333,0.6183,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.18058
lexical,worked_example,rank,Find a worked example involving rank.,1,1,1,1.0,1.0,slides_md/two/two_iii_handout/two_iii_handout.md,handout,0.14717
lexical,misconception,rank,What common mistake do students make with rank?,1,1,1,1.0,0.9047,slides_md/two/two_iii_handout/two_iii_handout.md,handout,0.07734
lexical,vague_student_question,rank,I am confused about when to use rank; what should I review first?,1,1,1,1.0,0.906,slides_md/two/two_iii_handout/two_iii_handout.md,handout,0.12759
lexical,multi_concept_review,rank,Give an exam-style explanation that connects rank to earlier concepts.,1,1,1,1.0,0.8772,mit_linear_algebra_md/fall2010/final-1806-f10-solution/final-1806-f10-solution.md,solution,0.0937
lexical,direct_concept,nullspace,Explain nullspace for a final exam review.,0,1,3,0.3333,0.5706,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.17909
lexical,worked_example,nullspace,Find a worked example involving nullspace.,1,1,1,1.0,1.0,mit_linear_algebra_md/fall2022/finalsol/finalsol.md,solution,0.11046
lexical,misconception,nullspace,What common mistake do students make with nullspace?,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2017/final-sol/final-sol.md,solution,0.08487
lexical,vague_student_question,nullspace,I am confused about when to use nullspace; what should I review first?,1,1,1,1.0,0.9197,mit_linear_algebra_md/fall2017/final-sol/final-sol.md,solution,0.12408
lexical,multi_concept_review,nullspace,Give an exam-style explanation that connects nullspace to earlier concepts.,1,1,1,1.0,1.0,mit_linear_algebra_md/fall2010/final-1806-f10-solution/final-1806-f10-solution.md,solution,0.09577
lexical,direct_concept,column_space,Explain column space for a final exam review.,0,1,2,0.5,0.7606,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.15508
lexical,worked_example,column_space,Find a worked example involving column space.,1,1,1,1.0,1.0,slides_md/two/two_iii/two_iii.md,lecture,0.21697
lexical,misconception,column_space,What common mistake do students make with column space?,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2017/final-sol/final-sol.md,solution,0.17601
lexical,vague_student_question,column_space,I am confused about when to use column space; what should I review first?,0,1,2,0.5,0.7606,mit_linear_algebra_md/fall2017/final-sol/final-sol.md,solution,0.16117
lexical,multi_concept_review,column_space,Give an exam-style explanation that connects column space to earlier concepts.,1,1,1,1.0,1.0,slides_md/two/two_iii/two_iii.md,lecture,0.11086
lexical,direct_concept,basis_dimension,Explain basis and dimension for a final exam review.,1,1,1,1.0,1.0,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.15925
lexical,worked_example,basis_dimension,Find a worked example involving basis.,1,1,1,1.0,1.0,slides_md/two/two_iii/two_iii.md,lecture,0.097
lexical,misconception,basis_dimension,What common mistake do students make with basis?,1,1,1,1.0,1.0,slides_md/three/three_i_handout/three_i_handout.md,handout,0.08056
lexical,vague_student_question,basis_dimension,I am confused about when to use basis; what should I review first?,1,1,1,1.0,0.906,mit_linear_algebra_md/fall2018/finalsol/finalsol.md,solution,0.1363
lexical,multi_concept_review,basis_dimension,Give an exam-style explanation that connects basis and dimension to earlier concepts.,1,1,1,1.0,1.0,flipped_md/inclass/vector-spaces/Two-III-2b/Two-III-2b.md,activity,0.10173
lexical,direct_concept,linear_maps,Explain linear maps for a final exam review.,0,1,3,0.3333,0.5706,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.15121
lexical,worked_example,linear_maps,Find a worked example involving linear map.,1,1,1,1.0,0.9829,slides_md/three/three_iii/three_iii.md,lecture,0.21539
lexical,misconception,linear_maps,What common mistake do students make with linear map?,1,1,1,1.0,0.9829,slides_md/three/three_iii/three_iii.md,lecture,0.12799
lexical,vague_student_question,linear_maps,I am confused about when to use linear map; what should I review first?,1,1,1,1.0,1.0,slides_md/three/three_iii/three_iii.md,lecture,0.14722
lexical,multi_concept_review,linear_maps,Give an exam-style explanation that connects linear maps to earlier concepts.,1,1,1,1.0,0.9558,slides_md/three/three_ii/three_ii.md,lecture,0.08284
lexical,direct_concept,change_of_basis,Explain change of basis for a final exam review.,0,1,2,0.5,0.6797,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.16538
lexical,worked_example,change_of_basis,Find a worked example involving change of basis.,1,1,1,1.0,1.0,slides_md/three/three_v/three_v.md,lecture,0.17725
lexical,misconception,change_of_basis,What common mistake do students make with change of basis?,1,1,1,1.0,0.9829,slides_md/three/three_v/three_v.md,lecture,0.11267
lexical,vague_student_question,change_of_basis,I am confused about when to use change of basis; what should I review first?,1,1,1,1.0,1.0,slides_md/three/three_v/three_v.md,lecture,0.17603
lexical,multi_concept_review,change_of_basis,Give an exam-style explanation that connects change of basis to earlier concepts.,1,1,1,1.0,0.906,slides_md/three/three_v/three_v.md,lecture,0.0995
lexical,direct_concept,determinants,Explain determinants for a final exam review.,0,0,0,0.0,0.0,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.17584
lexical,worked_example,determinants,Find a worked example involving determinant.,1,1,1,1.0,1.0,slides_md/four/four_i_handout/four_i_handout.md,handout,0.18365
lexical,misconception,determinants,What common mistake do students make with determinant?,1,1,1,1.0,1.0,slides_md/four/four_i_handout/four_i_handout.md,handout,0.09677
lexical,vague_student_question,determinants,I am confused about when to use determinant; what should I review first?,1,1,1,1.0,1.0,slides_md/four/four_i_handout/four_i_handout.md,handout,0.11652
lexical,multi_concept_review,determinants,Give an exam-style explanation that connects determinants to earlier concepts.,0,1,2,0.5,0.6934,mit_linear_algebra_md/fall2010/final-1806-f10-solution/final-1806-f10-solution.md,solution,0.08451
lexical,direct_concept,eigenvalues,Explain eigenvalues and eigenvectors for a final exam review.,1,1,1,1.0,1.0,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.15629
lexical,worked_example,eigenvalues,Find a worked example involving eigenvalue.,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2022/finalsol/finalsol.md,solution,0.12696
lexical,misconception,eigenvalues,What common mistake do students make with eigenvalue?,1,1,1,1.0,1.0,mit_linear_algebra_md/fall2022/finalsol/finalsol.md,solution,0.09678
lexical,vague_student_question,eigenvalues,I am confused about when to use eigenvalue; what should I review first?,0,1,2,0.5,0.6509,slides_md/three/three_iii_allproofs/three_iii_allproofs.md,lecture,0.08716
lexical,multi_concept_review,eigenvalues,Give an exam-style explanation that connects eigenvalues and eigenvectors to earlier concepts.,1,1,1,1.0,1.0,mit_linear_algebra_md/fall1999/final-solu-fall-99/final-solu-fall-99.md,solution,0.08976
lexical,direct_concept,diagonalization,Explain diagonalization for a final exam review.,1,1,1,1.0,0.8503,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.16873
lexical,worked_example,diagonalization,Find a worked example involving diagonalize.,0,1,4,0.25,0.5013,slides_md/four/four_i/four_i.md,lecture,0.06626
lexical,misconception,diagonalization,What common mistake do students make with diagonalize?,0,0,0,0.0,0.0,mit_linear_algebra_md/spring2010/18.06-Final-Answers-Sp2010-FN/18.06-Final-Answers-Sp2010-FN.md,solution,0.06673
lexical,vague_student_question,diagonalization,I am confused about when to use diagonalize; what should I review first?,0,0,0,0.0,0.0,slides_md/three/three_iii_allproofs/three_iii_allproofs.md,lecture,0.10317
lexical,multi_concept_review,diagonalization,Give an exam-style explanation that connects diagonalization to earlier concepts.,0,0,0,0.0,0.0,mit_linear_algebra_md/fall2010/final-1806-f10-solution/final-1806-f10-solution.md,solution,0.08161
lexical,direct_concept,orthogonality,Explain orthogonality for a final exam review.,0,1,2,0.5,0.6309,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.16002
lexical,worked_example,orthogonality,Find a worked example involving orthogonal.,1,1,1,1.0,1.0,slides_md/three/three_vi_handout/three_vi_handout.md,handout,0.14411
lexical,misconception,orthogonality,What common mistake do students make with orthogonal?,1,1,1,1.0,1.0,mit_linear_algebra_md/spring2021/Final Solutions/Final Solutions.md,solution,0.10111
lexical,vague_student_question,orthogonality,I am confused about when to use orthogonal; what should I review first?,0,1,3,0.3333,0.6183,slides_md/three/three_iii_allproofs/three_iii_allproofs.md,lecture,0.12383
