condition,concept,query,success_at_5,reciprocal_rank,grounding_support_proxy,top_sources
A0 full system,linear_systems,How do row operations solve a linear system?,1,1.0,1.0,slides_md/one/one_i_handout/one_i_handout.md|slides_md/one/one_i/one_i.md|slides_md/one/one_i_handout/one_i_handout.md
A0 full system,linear_systems,Find a course explanation of linear systems for final review.,1,1.0,0.333,flipped_md/inclass/linear-systems/inclass-describe/inclass-describe.md|slides_md/one/one_i_allproofs/one_i_allproofs.md|slides_md/four/four_ii_handout/four_ii_handout.md
A0 full system,linear_systems,Which worked example or exam solution illustrates linear system?,1,1.0,0.333,slides_md/one/one_i/one_i.md|slides_md/one/one_i_allproofs/one_i_allproofs.md|slides_md/one/one_i_handout/one_i_handout.md
A0 full system,linear_systems,What common mistake should a student avoid when using linear system?,1,1.0,0.333,flipped_md/inclass/linear-systems/One-I-2/One-I-2.md|slides_md/one/one_iii_handout/one_iii_handout.md|slides_md/two/two_i/two_i.md
A0 full system,row_reduction,How do pivots and free variables appear in RREF?,1,1.0,0.667,slides_md/one/one_i_allproofs/one_i_allproofs.md|slides_md/one/one_i_allproofs/one_i_allproofs.md|slides_md/one/one_i_allproofs/one_i_allproofs.md
A0 full system,row_reduction,Find a course explanation of row reduction for final review.,1,1.0,0.667,slides_md/three/three_v_allproofs/three_v_allproofs.md|mit_linear_algebra_md/spring2021/Final Solutions/Final Solutions.md|slides_md/one/one_iii/one_iii.md
A0 full system,row_reduction,Which worked example or exam solution illustrates row reduction?,1,1.0,0.667,slides_md/one/one_iii/one_iii.md|slides_md/one/one_iii_handout/one_iii_handout.md|slides_md/three/three_v_allproofs/three_v_allproofs.md
A0 full system,row_reduction,What common mistake should a student avoid when using row reduction?,1,1.0,0.667,slides_md/one/one_iii_handout/one_iii_handout.md|slides_md/three/three_v_allproofs/three_v_allproofs.md|slides_md/one/one_iii/one_iii.md
A0 full system,rank,How is rank read from a row-reduced matrix?,1,1.0,1.0,slides_md/two/two_iii_handout/two_iii_handout.md|slides_md/two/two_iii/two_iii.md|slides_md/two/two_iii_allproofs/two_iii_allproofs.md
A0 full system,rank,Find a course explanation of rank for final review.,1,1.0,0.5,slides_md/two/two_iii_handout/two_iii_handout.md|slides_md/two/two_iii/two_iii.md|slides_md/two/two_iii_allproofs/two_iii_allproofs.md
A0 full system,rank,Which worked example or exam solution illustrates rank?,1,1.0,0.5,mit_linear_algebra_md/fall2010/final-1806-f10-solution/final-1806-f10-solution.md|slides_md/two/two_iii_handout/two_iii_handout.md|mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md
A0 full system,rank,What common mistake should a student avoid when using rank?,1,1.0,0.5,slides_md/two/two_iii_handout/two_iii_handout.md|slides_md/two/two_iii/two_iii.md|slides_md/two/two_iii_allproofs/two_iii_allproofs.md
A0 full system,nullspace,How is a basis for the nullspace computed?,1,1.0,0.667,mit_linear_algebra_md/spring2021/Final Solutions/Final Solutions.md|mit_linear_algebra_md/spring2019/finalsol/finalsol.md|mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md
A0 full system,nullspace,Find a course explanation of nullspace for final review.,1,1.0,0.667,mit_linear_algebra_md/fall2022/finalsol/finalsol.md|mit_linear_algebra_md/spring2021/Final Solutions/Final Solutions.md|mit_linear_algebra_md/fall2018/finalsol/finalsol.md
