condition,task_id,action,concept,action_specific,concept_specific,hint_control,grounded,score
A0 full system,grade_linear_systems_1,grade,linear_systems,1,1,1,1,1
A0 full system,hint_linear_systems_2,hint,linear_systems,1,0,1,0,0.5
A0 full system,chat_linear_systems_3,chat,linear_systems,1,1,1,1,1
A0 full system,grade_linear_systems_4,grade,linear_systems,1,1,1,1,1
A0 full system,hint_linear_systems_5,hint,linear_systems,1,1,1,1,1
A0 full system,chat_linear_systems_6,chat,linear_systems,1,1,1,1,1
A0 full system,grade_linear_systems_7,grade,linear_systems,1,1,1,1,1
A0 full system,hint_linear_systems_8,hint,linear_systems,1,1,1,1,1
A0 full system,chat_linear_systems_9,chat,linear_systems,1,1,1,1,1
A0 full system,grade_row_reduction_10,grade,row_reduction,1,1,1,1,1
A0 full system,hint_row_reduction_11,hint,row_reduction,1,1,1,1,1
A0 full system,chat_row_reduction_12,chat,row_reduction,1,0,1,0,0.5
A0 full system,grade_row_reduction_13,grade,row_reduction,1,1,1,1,1
A0 full system,hint_row_reduction_14,hint,row_reduction,1,1,1,1,1
A0 full system,chat_row_reduction_15,chat,row_reduction,1,1,1,1,1
A0 full system,grade_row_reduction_16,grade,row_reduction,1,1,1,1,1
A0 full system,hint_row_reduction_17,hint,row_reduction,1,1,1,1,1
A0 full system,chat_row_reduction_18,chat,row_reduction,1,1,1,1,1
A0 full system,grade_rank_19,grade,rank,1,1,1,1,1
A0 full system,hint_rank_20,hint,rank,1,1,1,1,1
A0 full system,chat_rank_21,chat,rank,1,0,1,0,0.5
A0 full system,grade_rank_22,grade,rank,1,1,1,1,1
A0 full system,hint_rank_23,hint,rank,1,1,1,1,1
A0 full system,chat_rank_24,chat,rank,1,0,1,0,0.5
A0 full system,grade_rank_25,grade,rank,1,1,1,1,1
A0 full system,hint_rank_26,hint,rank,1,1,1,1,1
A0 full system,chat_rank_27,chat,rank,1,1,1,1,1
A0 full system,grade_nullspace_28,grade,nullspace,1,1,1,1,1
A0 full system,hint_nullspace_29,hint,nullspace,1,1,1,1,1
A0 full system,chat_nullspace_30,chat,nullspace,1,1,1,1,1
A0 full system,grade_nullspace_31,grade,nullspace,1,1,1,1,1
A0 full system,hint_nullspace_32,hint,nullspace,1,1,1,1,1
A0 full system,chat_nullspace_33,chat,nullspace,1,0,1,0,0.5
A0 full system,grade_nullspace_34,grade,nullspace,1,1,1,1,1
A0 full system,hint_nullspace_35,hint,nullspace,1,1,1,1,1
A0 full system,chat_nullspace_36,chat,nullspace,1,1,1,1,1
A0 full system,grade_column_space_37,grade,column_space,1,1,1,1,1
A0 full system,hint_column_space_38,hint,column_space,1,1,1,1,1
A0 full system,chat_column_space_39,chat,column_space,1,1,1,1,1
A0 full system,grade_column_space_40,grade,column_space,1,1,1,1,1
A0 full system,hint_column_space_41,hint,column_space,1,1,1,1,1
A0 full system,chat_column_space_42,chat,column_space,1,1,1,1,1
A0 full system,grade_column_space_43,grade,column_space,1,1,1,1,1
A0 full system,hint_column_space_44,hint,column_space,1,1,1,1,1
A0 full system,chat_column_space_45,chat,column_space,1,1,1,1,1
