condition,concept,query,success_at_5,first_hit_rank,reciprocal_rank,top_source,top_role,top_score
lexical,linear_systems,How do row operations solve a linear system?,1,1,1.0,slides_md/two/two_iii_handout/two_iii_handout.md,handout,0.19132
lexical,linear_systems,Find a course explanation of linear systems for final review.,1,1,1.0,flipped_md/inclass/linear-systems/inclass-describe/inclass-describe.md,activity,0.13252
lexical,linear_systems,Which worked example or exam solution illustrates linear system?,0,0,0,slides_md/one/one_iii/one_iii.md,lecture,0.11528
lexical,linear_systems,What common mistake should a student avoid when using linear system?,0,0,0,mit_linear_algebra_md/spring2022/finalsol/finalsol.md,solution,0.05668
lexical,row_reduction,How do pivots and free variables appear in RREF?,1,1,1.0,slides_md/one/one_i_allproofs/one_i_allproofs.md,lecture,0.24703
lexical,row_reduction,Find a course explanation of row reduction for final review.,1,2,0.5,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.10998
lexical,row_reduction,Which worked example or exam solution illustrates row reduction?,1,1,1.0,slides_md/one/one_iii/one_iii.md,lecture,0.11653
lexical,row_reduction,What common mistake should a student avoid when using row reduction?,1,1,1.0,slides_md/one/one_iii_handout/one_iii_handout.md,handout,0.07366
lexical,rank,How is rank read from a row-reduced matrix?,1,1,1.0,slides_md/two/two_iii_handout/two_iii_handout.md,handout,0.16236
lexical,rank,Find a course explanation of rank for final review.,1,4,0.25,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.12981
lexical,rank,Which worked example or exam solution illustrates rank?,1,1,1.0,mit_linear_algebra_md/fall2010/final-1806-f10-solution/final-1806-f10-solution.md,solution,0.10565
lexical,rank,What common mistake should a student avoid when using rank?,1,1,1.0,slides_md/two/two_iii_handout/two_iii_handout.md,handout,0.07465
lexical,nullspace,How is a basis for the nullspace computed?,1,1,1.0,mit_linear_algebra_md/spring2021/Final Solutions/Final Solutions.md,solution,0.11878
lexical,nullspace,Find a course explanation of nullspace for final review.,0,0,0,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.1285
lexical,nullspace,Which worked example or exam solution illustrates nullspace?,1,1,1.0,mit_linear_algebra_md/fall2010/final-1806-f10-solution/final-1806-f10-solution.md,solution,0.1081
lexical,nullspace,What common mistake should a student avoid when using nullspace?,0,0,0,mit_linear_algebra_md/spring2022/finalsol/finalsol.md,solution,0.0559
lexical,column_space,How is the column space related to solvability of Ax=b?,1,1,1.0,mit_linear_algebra_md/fall2007/practicefinal-sol/practicefinal-sol.md,solution,0.25307
lexical,column_space,Find a course explanation of column space for final review.,1,1,1.0,slides_md/two/two_iii/two_iii.md,lecture,0.13261
lexical,column_space,Which worked example or exam solution illustrates column space?,1,1,1.0,slides_md/two/two_iii/two_iii.md,lecture,0.1768
lexical,column_space,What common mistake should a student avoid when using column space?,1,1,1.0,slides_md/two/two_iii/two_iii.md,lecture,0.09967
lexical,basis_dimension,How do basis and dimension describe a vector space?,1,1,1.0,slides_md/two/two_iii/two_iii.md,lecture,0.34847
lexical,basis_dimension,Find a course explanation of basis and dimension for final review.,1,1,1.0,flipped_md/inclass/vector-spaces/Two-III-2b/Two-III-2b.md,activity,0.11777
