id,source_path,silver_count,predicted_count,intersection_count,missing_count,extra_count,exact_match,under_label,over_label,jaccard,missing_labels,extra_labels
item_0002,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,7,16,7,0,9,0,0,1,0.438,,change_of_basis|determinants|diagonalization|least_squares|linear_maps|linear_systems|orthogonality|rank|svd
item_0003,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,8,16,8,0,8,0,0,1,0.5,,eigenvalues|linear_maps|linear_systems|nullspace|positive_definite|rank|row_reduction|svd
item_0004,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,5,16,5,0,11,0,0,1,0.312,,change_of_basis|column_space|determinants|diagonalization|least_squares|linear_maps|linear_systems|orthogonality|rank|row_reduction|svd
item_0005,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,6,16,6,0,10,0,0,1,0.375,,change_of_basis|determinants|diagonalization|least_squares|linear_maps|linear_systems|nullspace|positive_definite|row_reduction|svd
item_0007,mit_linear_algebra_md/fall1999/final-fall-99/final-fall-99.md,7,9,4,3,5,0,0,1,0.333,determinants|nullspace|rank,least_squares|linear_systems|orthogonality|projection|svd
item_0008,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,6,16,6,0,10,0,0,1,0.375,,basis_dimension|change_of_basis|determinants|diagonalization|least_squares|linear_maps|linear_systems|projection|row_reduction|svd
item_0009,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,5,16,5,0,11,0,0,1,0.312,,change_of_basis|determinants|diagonalization|eigenvalues|least_squares|linear_systems|orthogonality|positive_definite|projection|rank|svd
item_0010,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,9,14,8,1,6,0,0,1,0.533,rank,change_of_basis|column_space|diagonalization|linear_maps|linear_systems|positive_definite
item_0012,mit_linear_algebra_md/fall2002/final/final.md,7,16,7,0,9,0,0,1,0.438,,change_of_basis|column_space|diagonalization|least_squares|linear_maps|linear_systems|nullspace|positive_definite|svd
item_0013,mit_linear_algebra_md/fall2003-没找到答案/final/final.md,5,16,5,0,11,0,0,1,0.312,,change_of_basis|column_space|determinants|diagonalization|least_squares|linear_maps|linear_systems|nullspace|positive_definite|rank|row_reduction
item_0014,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,8,16,8,0,8,0,0,1,0.5,,change_of_basis|column_space|diagonalization|linear_maps|linear_systems|orthogonality|positive_definite|svd
item_0015,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,5,16,5,0,11,0,0,1,0.312,,change_of_basis|column_space|determinants|diagonalization|least_squares|linear_maps|linear_systems|positive_definite|projection|rank|row_reduction
item_0017,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,6,16,6,0,10,0,0,1,0.375,,change_of_basis|column_space|determinants|diagonalization|least_squares|linear_maps|linear_systems|projection|row_reduction|svd
item_0018,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,5,16,5,0,11,0,0,1,0.312,,change_of_basis|column_space|diagonalization|least_squares|linear_maps|linear_systems|nullspace|positive_definite|rank|row_reduction|svd
item_0019,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,5,4,3,2,1,0,1,0,0.5,determinants|eigenvalues,linear_systems
item_0020,mit_linear_algebra_md/fall2008/final1806-f08/final1806-f08.md,8,16,8,0,8,0,0,1,0.5,,basis_dimension|column_space|diagonalization|least_squares|linear_maps|linear_systems|positive_definite|projection
item_0022,mit_linear_algebra_md/fall2011/final_f11/final_f11.md,6,16,6,0,10,0,0,1,0.375,,basis_dimension|change_of_basis|column_space|determinants|linear_maps|linear_systems|nullspace|rank|row_reduction|svd
item_0023,mit_linear_algebra_md/fall2013/final_f13/final_f13.md,6,16,6,0,10,0,0,1,0.375,,column_space|diagonalization|least_squares|linear_maps|linear_systems|nullspace|orthogonality|projection|rank|row_reduction
item_0024,mit_linear_algebra_md/fall2013/final_f13/final_f13.md,6,16,6,0,10,0,0,1,0.375,,change_of_basis|column_space|determinants|diagonalization|least_squares|linear_systems|nullspace|orthogonality|row_reduction|svd
item_0025,mit_linear_algebra_md/fall2022/final/final.md,6,16,6,0,10,0,0,1,0.375,,basis_dimension|change_of_basis|determinants|diagonalization|least_squares|linear_maps|linear_systems|positive_definite|row_reduction|svd
item_0027,mit_linear_algebra_md/spring1998/final-98/final-98.md,8,16,8,0,8,0,0,1,0.5,,change_of_basis|determinants|diagonalization|linear_maps|linear_systems|positive_definite|row_reduction|svd
item_0028,mit_linear_algebra_md/spring1999/final-99/final-99.md,6,16,6,0,10,0,0,1,0.375,,change_of_basis|diagonalization|least_squares|linear_maps|linear_systems|orthogonality|positive_definite|projection|rank|svd
item_0029,mit_linear_algebra_md/spring1999/final-99/final-99.md,5,16,5,0,11,0,0,1,0.312,,change_of_basis|column_space|determinants|diagonalization|linear_maps|nullspace|positive_definite|projection|rank|row_reduction|svd
item_0030,mit_linear_algebra_md/spring1999/final-99/final-99.md,7,16,7,0,9,0,0,1,0.438,,change_of_basis|column_space|determinants|diagonalization|least_squares|linear_maps|linear_systems|nullspace|svd
item_0032,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,5,16,5,0,11,0,0,1,0.312,,change_of_basis|determinants|diagonalization|eigenvalues|least_squares|linear_maps|linear_systems|orthogonality|positive_definite|projection|svd
item_0033,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,7,16,7,0,9,0,0,1,0.438,,change_of_basis|determinants|least_squares|linear_maps|linear_systems|orthogonality|positive_definite|row_reduction|svd
item_0034,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,6,16,6,0,10,0,0,1,0.375,,basis_dimension|change_of_basis|column_space|diagonalization|least_squares|linear_maps|linear_systems|orthogonality|projection|row_reduction
item_0035,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,6,16,6,0,10,0,0,1,0.375,,column_space|determinants|diagonalization|eigenvalues|least_squares|linear_maps|orthogonality|positive_definite|rank|svd
item_0037,mit_linear_algebra_md/spring2007/final/final.md,6,16,6,0,10,0,0,1,0.375,,change_of_basis|column_space|determinants|diagonalization|least_squares|linear_maps|linear_systems|rank|row_reduction|svd
item_0038,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,7,9,3,4,6,0,0,1,0.231,basis_dimension|determinants|projection|rank,change_of_basis|diagonalization|least_squares|linear_maps|linear_systems|svd
item_0039,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,5,16,5,0,11,0,0,1,0.312,,basis_dimension|change_of_basis|column_space|determinants|diagonalization|linear_maps|linear_systems|nullspace|projection|rank|row_reduction
item_0040,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,7,16,7,0,9,0,0,1,0.438,,change_of_basis|determinants|diagonalization|least_squares|linear_maps|nullspace|positive_definite|row_reduction|svd
item_0042,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,6,16,6,0,10,0,0,1,0.375,,change_of_basis|diagonalization|least_squares|linear_maps|linear_systems|nullspace|positive_definite|projection|row_reduction|svd
item_0043,mit_linear_algebra_md/spring2010/18.06-Final-Sp2010/18.06-Final-Sp2010.md,7,16,7,0,9,0,0,1,0.438,,column_space|least_squares|linear_maps|linear_systems|nullspace|projection|rank|row_reduction|svd
item_0044,mit_linear_algebra_md/spring2011/spring 2011 final exam/spring 2011 final exam.md,6,16,6,0,10,0,0,1,0.375,,basis_dimension|change_of_basis|diagonalization|least_squares|linear_maps|linear_systems|nullspace|positive_definite|rank|svd
item_0045,mit_linear_algebra_md/spring2011/spring 2011 final exam/spring 2011 final exam.md,6,16,6,0,10,0,0,1,0.375,,basis_dimension|change_of_basis|column_space|diagonalization|least_squares|linear_maps|linear_systems|projection|rank|row_reduction
item_0047,mit_linear_algebra_md/spring2014/Final_s14_draft/Final_s14_draft.md,7,16,7,0,9,0,0,1,0.438,,change_of_basis|diagonalization|eigenvalues|linear_maps|linear_systems|positive_definite|rank|row_reduction|svd
item_0048,mit_linear_algebra_md/spring2014/Final_s14_draft/Final_s14_draft.md,5,16,5,0,11,0,0,1,0.312,,basis_dimension|change_of_basis|column_space|determinants|diagonalization|least_squares|linear_maps|linear_systems|projection|rank|row_reduction
item_0049,mit_linear_algebra_md/spring2015/FinalExamSp15/FinalExamSp15.md,8,16,8,0,8,0,0,1,0.5,,change_of_basis|determinants|diagonalization|least_squares|linear_maps|linear_systems|rank|row_reduction
item_0050,mit_linear_algebra_md/spring2015/FinalExamSp15/FinalExamSp15.md,8,16,8,0,8,0,0,1,0.5,,change_of_basis|diagonalization|least_squares|linear_systems|nullspace|projection|row_reduction|svd
item_0052,mit_linear_algebra_md/spring2017/final/final.md,5,16,5,0,11,0,0,1,0.312,,change_of_basis|determinants|diagonalization|eigenvalues|least_squares|linear_maps|linear_systems|orthogonality|positive_definite|projection|svd
item_0053,mit_linear_algebra_md/spring2017/final/final.md,8,16,8,0,8,0,0,1,0.5,,basis_dimension|change_of_basis|determinants|diagonalization|least_squares|linear_maps|linear_systems|row_reduction
item_0054,mit_linear_algebra_md/spring2017/final/final.md,5,16,5,0,11,0,0,1,0.312,,basis_dimension|change_of_basis|column_space|least_squares|linear_maps|linear_systems|nullspace|projection|rank|row_reduction|svd
item_0055,mit_linear_algebra_md/spring2019/final/final.md,6,16,6,0,10,0,0,1,0.375,,change_of_basis|diagonalization|eigenvalues|least_squares|linear_systems|nullspace|projection|rank|row_reduction|svd
item_0057,mit_linear_algebra_md/spring2021/Final/Final.md,5,5,3,2,2,0,0,0,0.429,basis_dimension|svd,diagonalization|linear_systems
item_0058,mit_linear_algebra_md/spring2021/Final/Final.md,7,16,7,0,9,0,0,1,0.438,,change_of_basis|determinants|diagonalization|eigenvalues|linear_maps|positive_definite|projection|row_reduction|svd
item_0059,mit_linear_algebra_md/spring2021/Final/Final.md,5,16,5,0,11,0,0,1,0.312,,change_of_basis|column_space|determinants|eigenvalues|least_squares|linear_maps|linear_systems|nullspace|positive_definite|rank|row_reduction
item_0060,flipped_md/inclass/jc/Five-IIc/Five-IIc.md,4,16,4,0,12,0,0,1,0.25,,column_space|determinants|diagonalization|least_squares|linear_maps|nullspace|orthogonality|positive_definite|projection|rank|row_reduction|svd
