learner,theta,target_concept,policy,candidate_count,item_id,source_role,source_path,item_difficulty,difficulty_error,difficulty_hit_0_5,difficulty_hit_0_75,item_information,weak_concept_hit,concept_count
weak_systems,-0.8,linear_systems,random_within_target,14,item_0035,exam,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,1.4,2.2,0,0,0.09,1,6
weak_systems,-0.8,linear_systems,syllabus_ranked,14,item_0087,activity,flipped_md/inclass/map/Three-Ib/Three-Ib.md,0.2,1.0,0,0,0.197,1,2
weak_systems,-0.8,linear_systems,difficulty_only,14,item_0098,activity,flipped_md/inclass/linear-systems/inclass-describe/inclass-describe.md,-0.44,0.36,1,1,0.242,1,1
weak_systems,-0.8,linear_systems,graph_irt,14,item_0098,activity,flipped_md/inclass/linear-systems/inclass-describe/inclass-describe.md,-0.44,0.36,1,1,0.242,1,1
weak_systems,-0.8,nullspace,random_within_target,38,item_0053,exam,mit_linear_algebra_md/spring2017/final/final.md,1.4,2.2,0,0,0.09,1,8
weak_systems,-0.8,nullspace,syllabus_ranked,38,item_0015,exam,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,1.24,2.04,0,0,0.102,1,5
weak_systems,-0.8,nullspace,difficulty_only,38,item_0076,activity,flipped_md/inclass/vector-spaces/Two-I.2/Two-I.2.md,0.36,1.16,0,0,0.182,1,3
weak_systems,-0.8,nullspace,graph_irt,38,item_0076,activity,flipped_md/inclass/vector-spaces/Two-I.2/Two-I.2.md,0.36,1.16,0,0,0.182,1,3
weak_systems,-0.8,row_reduction,random_within_target,19,item_0032,exam,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,1.0,1.8,0,0,0.122,1,5
weak_systems,-0.8,row_reduction,syllabus_ranked,19,item_0070,exam,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,0.84,1.64,0,0,0.136,1,4
weak_systems,-0.8,row_reduction,difficulty_only,19,item_0074,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.36,1.16,0,0,0.182,1,3
weak_systems,-0.8,row_reduction,graph_irt,19,item_0074,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.36,1.16,0,0,0.182,1,3
mid_spectral,0.1,determinants,random_within_target,37,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,1.06,0,0,0.191,1,6
mid_spectral,0.1,determinants,syllabus_ranked,37,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,1.06,0,0,0.191,1,6
mid_spectral,0.1,determinants,difficulty_only,37,item_0075,activity,flipped_md/inclass/map/Three-Vb/Three-Vb.md,0.36,0.26,1,1,0.246,1,3
mid_spectral,0.1,determinants,graph_irt,37,item_0075,activity,flipped_md/inclass/map/Three-Vb/Three-Vb.md,0.36,0.26,1,1,0.246,1,3
mid_spectral,0.1,diagonalization,random_within_target,11,item_0021,exam,mit_linear_algebra_md/fall2011/final_f11/final_f11.md,1.4,1.3,0,0,0.168,1,7
mid_spectral,0.1,diagonalization,syllabus_ranked,11,item_0033,exam,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,1.4,1.3,0,0,0.168,1,7
